address,city,state
4021 Avenue B,Scottsbluff,NE
1210 North Washington,Plainville,KS
1202 Third Street West,Roundup,MT
1000 Health Center Drive,Mattoon,IL
1842 Simpson Highway 149,Mendenhall,MS
8012 South Crandon Avenue,Chicago,IL
900 11th Street SE,Bandon,OR
23500 U.S. Highway 160,Walsenburg,CO
714 West Pine St.,Newport,WA
120 East Howard,Driggs,ID
530 3rd St NW,Harlowton,MT
920 Hillcrest Drive,Vernon,TX
901 Montgomery Street,Decorah,IA
17550 E Main St,Louisville,MS
2605 N Lebanon St,Lebanon,IN
2222 North Lincoln Ave,York,NE
1 Boston Medical Ctr Pl,Boston,MA
111 East 210th Street,Bronx,NY
736 Cambridge Street,Boston,MA
375 Laguna Honda Boulevard,San Francisco,CA
550 1st Ave,New York,NY
1601 Ygnacio Valley Road,Walnut Creek,CA
12605 East 16th Avenue,Aurora,CO
13123 East 16th Avenue,Aurora,CO
15 Hospital Dr,York,ME
"5656 Bee Caves Road, Ste M-302",West Lake Hills,TX
3003 Bee Caves Road,Austin,TX
1250 East Marshall Street,Richmond,VA
1500 North 28th Street,Richmond,VA
20370 NE Burns Ave,Blountstown,FL
2302 College Avenue,Conway,AR
718 Teaneck Rd,Teaneck,NJ
12902 Magnolia Drive,Tampa,FL
751 S Bascom Ave,San Jose,CA
600 St. Johnsbury Road,Littleton,NH
1701 N Senate Blvd,Indianapolis,IN
200 Exempla Circle,Lafayette,CO
1375 E 19th Ave,Denver,CO
24 Hospital Ave,Danbury,CT
6001 E Woodmen Road,Colorado Springs,CO
20 York St,New Haven,CT
273 County Road,New London,NH
70 Butler Street,Salem,NH
"29 Northwest Blvd, SNHMC West Campus",Nashua,NH
"105 Corporate Drive, Pease International Tradeport",Portsmouth,NH
172 Kinsley St,Nashua,NH
1100 Central Southeast,Albuquerque,NM
2211 Lomas Blvd NE,Albuquerque,NM
901 Adams Boulevard,Boulder City,NV
1233 East 2nd Street,Casper,WY
One Medical Center Drive,Morgantown,WV
327 Medical Park Drive,Bridgeport,WV
"122 12th Street, Po Box 1369",Princeton,WV
501 Morris Street,Charleston,WV
800 Garfield Ave,Parkersburg,WV
2500 Hospital Drive,Martinsburg,WV
100 Hospital Dr,Bennington,VT
160 Allen St,Rutland,VT
PO Box 905,St. Johnsbury,VT
189 Prouty Dr,Newport,VT
528 Washington Highway,Morrisville,VT
7101 Jahnke Road,Richmond,VA
1906 Belleview Ave SE,Roanoke,VA
301 University Boulevard,Galveston,TX
100 Kenyon Ave,Wakefield,RI
4500 W 69th St,Sioux Falls,SD
6940 Sierra Center Parkway,Reno,NV
1495 Mill Street,Reno,NV
1305 W 18th St,Sioux Falls,SD
100 N Academy Ave,Danville,PA
420 S 5th Ave,West Reading,PA
1000 Bower Hill Road,Pittsburgh,PA
300 Halket Street,Pittsburgh,PA
2333 McCallie Ave,Chattanooga,TN
5959 Park Ave,Memphis,TN
3247 S Maryland Parkway,Las Vegas,NV
2075 East Flamingo Road,Las Vegas,NV
101 Dates Dr,Ithaca,NY
700 North Spring Street,Caliente,NV
880 Alder Avenue,Incline Village,NV
200 S. A Street,Hawthorne,NV
213 South Whitacre,Yerington,NV
5460 West Sahara Avenue,Las Vegas,NV
7000 West Spring Mountain Road,Las Vegas,NV
5400 S Rainbow Blvd.,Las Vegas,NV
1800 West Charleston Boulevard,Las Vegas,NV
5255 Loughboro Rd NW,Washington,DC
575 S Dupont Hwy,New Castle,DE
6200 Sw 73rd St,Miami,FL
240 South Main Street,Wolfeboro,NH
2160 S 1st Ave,Maywood,IL
4401 Wornall Road,Kansas City,MO
2614 Jefferson Hwy,Jefferson,LA
300 Longwood Ave,Boston,MA
35 Medical Center Parkway,Augusta,ME
360 Broadway,Bangor,ME
3601 West  Thirteen Mile Rd,Royal Oak,MI
800 East 28th Street,Minneapolis,MN
1406 6th Ave N,St Cloud,MN
6051 US Highway 49,Hattiesburg,MS
25117 Highway 15,Union,MS
2301 Erwin Rd,Durham,NC
1200 North Elm St,Greensboro,NC
2100 Stantonsburg Road,Greenville,NC
300 N 7th St,Bismarck,ND
5225 23rd Ave S,Fargo,ND
987400 Nebraska Medical Ctr,Omaha,NE
10 Alice Peck Day Drive,Lebanon,NH
580 Court Street,Keene,NH
90 Swiftwater Road,Woodsville,NH
801 Pole Line Road W.,Twin Falls,ID
2500 Bernville Rd,Reading,PA
1001 Sam Perry Boulevard,Fredericksburg,VA
1705 Jackson Street,Richmond,TX
201 State St,Erie,PA
1207 S. Bailey Street,Electra,TX
3533 South Alameda Street,Corpus Christi,TX
308 Hudspeth Drive,Sonora,TX
1110 N Sarah Dewitt Drive,Gonzales,TX
539 E. Prudhomme Street,Opelousas,LA
209 Front St.,Vidalia,LA
2202 False River Drive,New Roads,LA
701 Cypress Street,Sulphur,LA
5266 Commerce St,Saint Francisville,LA
719 Detroit Ave,Danville,AR
"300 Werner Street, 3rd Floor",Hot Springs,AR
1206 Gordon Duckworth Drive,Piggott,AR
1024 S. Lemay Ave,Fort Collins,CO
272 Hospital Road,Chillicothe,OH
11900 Fairhill Road,Cleveland,OH
411 W Randolph Rd,Hopewell,VA
169 Riverside Dr,Binghamton,NY
800 E Washington Blvd,Crescent City,CA
1373 East State Road 62,Madison,IN
1460 Orange Street,Coshocton,OH
2475 E Broadway St,Helena,MT
520 S. Eagle Road,Meridian,ID
321 Mitchell Ave,Batesville,IN
150 Gilbreath Drive,Oneonta,AL
50 Medical Park Dr E,Birmingham,AL
2030 Lay Dam Road,Clanton,AL
7063 Veterans Pkwy,Pell City,AL
2811 Tieton Drive,Yakima,WA
939 Caroline St,Port Angeles,WA
1531 Esplanade,Chico,CA
4445 Magnolia Ave,Riverside,CA
2825 Capitol Avenue,Sacramento,CA
1600 Prairie Center Parkway,Brighton,CO
1615 Delaware Ln,Longview,WA
100 Hospital Road,Prince Frederick,MD
267 Grant St,Bridgeport,CT
615 N Bonita Ave,Panama City,FL
430 E Divison St,Fond Du Lac,WI
2500 Metrohealth Dr,Cleveland,OH
1010 Murray Street,San Luis Obispo,CA
102 West 9th St,Neligh,NE
140 Academy Street,Presque Isle,ME
347 N Kuakini Street,Honolulu,HI
1 Amalia Drive,Buckhannon,WV
4300 Alton Rd,Miami Beach,FL
5830 NW Barry Road,Kansas City,MO
350 North Grandview Avenue,Dubuque,IA
124 One Center Ct,Franklin,NC
428 Biltmore Ave,Asheville,NC
925 Long Drive,Rockingham,NC
190 Hospital Drive,Highlands,NC
3019 Falstaff Rd,Raleigh,NC
430 Rankin Dr,Marion,NC
830 Rockford Street,Mount Airy,NC
1144 North Road Street,Elizabeth City,NC
260 Hospital Dr,Brevard,NC
300 West 27th St,Lumberton,NC
701 N 1st St,Springfield,IL
700 Children's Drive,Columbus,OH
1900 South Ave,La Crosse,WI
602 Indiana Avenue,Lubbock,TX
555 Creekside Crossing,New Braunfels,TX
11100 Euclid Ave,Cleveland,OH
2201 Hempstead Tpke,East Meadow,NY
500 J Clyde Morris Boulevard,Newport News,VA
800 Spruce Street,Philadelphia,PA
11700 N Meridian St,Carmel,IN
1111 N Ronald Reagan Pkwy,Avon,IN
1000 Oakleaf Way,Altoona,WI
330 Mount Auburn St,Cambridge,MA
600 North Wolfe St,Baltimore,MD
900 23rd Street NW,Washington,DC
801 East Williams Avenue,Fallon,NV
975 East Third Street,Chattanooga,TN
400 N State of Franklin Road,Johnson City,TN
809 82nd Pkwy,Myrtle Beach,SC
216 Anamaria Drive,Rapid City,SD
3401 N Broad St,Philadelphia,PA
6901 Medical Parkway,Waco,TX
6621 Fannin St,Houston,TX
1500 Avenue H,Ely,NV
802 North Minter Avenue,Throckmorton,TX
4401 Penn Avenue,Pittsburgh,PA
6300 Main St,Zachary,LA
52579 Highway 51 S,Independence,LA
501 Keyser Ave,Natchitoches,LA
815 S Pine St,Vivian,LA
201 North Clifton Street,Fordyce,AR
200 North Third Street,Dardanelle,AR
801 South Main Street,Clinton,IN
1240 Huffman Mill Road,Burlington,NC
"1000 First Street, North",Alabaster,AL
8333 Felch Street,Zeeland,MI
1400 West Park Street,Urbana,IL
1234 Napier Avenue,St Joseph,MI
427 Highway 51 North,Brookhaven,MS
1105 Sixth St,Traverse City,MI
31700 Temecula Parkway,Temecula,CA
4050 Coon Rapids Blvd,Coon Rapids,MN
2450 Ashby Avenue,Berkeley,CA
1648 Huntingdon Pike,Meadowbrook,PA
1221 Pine Grove Ave,Port Huron,MI
2905 W Warner Road,Chandler,AZ
575 Rivergate Lane,Durango,CO
525 E Market St,Akron,OH
251 E Huron St,Chicago,IL
950 West Wooster Street,Bowling Green,OH
750 North 40th Street,Phoenix,AZ
6125 North Fresno Street,Fresno,CA
777 Hospital Way,Pocatello,ID
1900 Columbus Ave,Bay City,MI
100 W. California Boulevard,Pasadena,CA
501 Robertson Blvd,Walterboro,SC
320 Pomfret Street,Putnam,CT
395 Westfield Rd,Noblesville,IN
1320 West Main Street,Newark,OH
521 Adams Avenue,Morton,WA
608 Strickland Drive,Orange,TX
600 Mt Hwy 91 S,Dillon,MT
150 W 100 N,Vernal,UT
707 14th St,Baraboo,WI
1 Good Samaritan Way,Mount Vernon,IL
200 Lothrop St,Pittsburgh,PA
2151 Peachford Road,Atlanta,GA
6001 Webb Rd,Tampa,FL
8300 Collier Blvd,Naples,FL
"550 Peachtree Street, Ne",Atlanta,GA
1850 Town Center Pkwy,Reston,VA
5454 Yorktowne Drive,Atlanta,GA
557 Brookdale Drive,Statesville,NC
364 White Oak Street,Asheboro,NC
3643 N Roxboro St,Durham,NC
1200 North Elm Street,Greensboro,NC
1233 N 30th St,Billings,MT
3620 Howell Ferry Road,Duluth,GA
1101 26th St S,Great Falls,MT
2611 Wayne Avenue,Dayton,OH
2520 N University Ave,Lafayette,LA
4801 Beckner Road,Santa Fe,NM
91 Beehive Cir,Saint Cloud,FL
8210 National Avenue,Midwest City,OK
2213 Ponce By Pass,Ponce,PR
550 Sergio Cuevas,San Juan,PR
2767 Olive Highway,Oroville,CA
822 W 4th Street,Leadville,CO
121 Drew Avenue Southeast,Madelia,MN
10 Fourth Avenue SE,Glenwood,MN
100 Century Drive,Worcester,MA
606 Black River Road,Georgetown,SC
2525 Chicago Avenue South,Minneapolis,MN
2400 St Francis Dr,Breckenridge,MN
600 Main Ave S,Baudette,MN
286 16th Street,Burlington,CO
1000 Rush Drive,Salida,CO
235 W Fletcher Street,Haxtun,CO
1103 Grace Street,Wichita Falls,TX
15248 Eleventh Street,Victorville,CA
Carr. 128 Km 1.0 Bo,Yauco,PR
78 Medical Center Drive,Fishersville,VA
23900 Katy Freeway,Katy,TX
8th Avenue C Street,Salt Lake City,UT
11820 Destination Drive,Broomfield,CO
1101 Van Ness Ave,San Francisco,CA
130 Brentwood Drive,Chester,CA
170 Governors Avenue,Medford,MA
3020 Childrens Way,San Diego,CA
5325 Faraon Street,St. Joseph,MO
800 Raven Hill Drive,Atchison,KS
25500 Medical Center Drive,Murrieta,CA
1000 Trancas St,Napa,CA
2700 Dolbeer Street,Eureka,CA
5189 Hospital Road,Mariposa,CA
18697 Bagley Rd,Middleburg Heights,OH
315 West 15th Street,Liberal,KS
25 North Winfield Road,Winfield,IL
400 Northwood Drive,Centre,AL
811 Highway 65 South,Dumas,AR
"7301 Rogers Avenue, 4th Floor",Fort Smith,AR
900 South Third Street,McGehee,AR
4650 Sunset Boulevard,Los Angeles,CA
4501 Sand Creek Rd,Antioch,CA
2823 Fresno St,Fresno,CA
255 East Bonita Avenue,Pomona,CA
8200 Dodge St,Omaha,NE
2200 H St,Fairbury,NE
750 Morphy Ave,Fairhope,AL
5 Mobile Infirmary Circle,Mobile,AL
705 East Felt Street,Brownfield,TX
3400 Ministry Parkway,Weston,WI
301 Victoria Street,Costa Mesa,CA
1634 Elton Rd,Jennings,LA
850 Riverview Ave,Pineville,KY
520 W Gum St,Marion,KY
12401 Washington Blvd.,Whittier,CA
11500 Brookshire Avenue,Downey,CA
1225 Wilshire Boulevard,Los Angeles,CA
901 Olive Drive,Bakersfield,CA
509 Sumter Street,Montezuma,GA
2303 Southeast Military Drive,San Antonio,TX
1870 S 75th Street,Omaha,NE
401 Getwell Drive,Senatobia,MS
421 South Maple Street,Garnett,KS
15855 19 Mile Rd,Clinton Township,MI
130 Highlands Parkway,Picayune,MS
935 Wayne Rd.,Savannah,TN
350 Hospital Drive,Macon,GA
1201 Ricker Drive,Salem,IL
713 Oak Street,Sundance,WY
2990 Legacy Drive,Frisco,TX
2000 Medical Drive,Lakeway,TX
6601 Harris Parkway,Fort Worth,TX
232 South Woods Mill Road,Chesterfield,MO
425 Jack Martin Boulevard,Brick,NJ
1140 State Route 72 West,Manahawkin,NJ
7600 River Road,North Bergen,NJ
1 Riverview Plaza,Red Bank,NJ
1400 Nw 12th Ave,Miami,FL
2100 Madison Avenue,Granite City,IL
3333 W. DeYoung St.,Marion,IL
4600 SW 46th Ct,Ocala,FL
One Hospital Plaza,Stamford,CT
1000 Lincoln St,Fort Morgan,CO
800 West Central Road,Arlington Heights,IL
100 Bowman Drive,Voorhees,NJ
13600 Horizon Boulevard,Horizon City,TX
1001 North Tustin Avenue,Santa Ana,CA
2601 East Chapman Avenue,Orange,CA
1025 South Anaheim Blvd,Anaheim,CA
1801 Martin Luther King Drive,Helena,AR
1 Hoag Drive,Newport Beach,CA
909 N Washington Ave,Dallas,TX
2525 S Michigan Ave,Chicago,IL
1 Medical Village Dr.,Edgewood,KY
504 Elm Street NE,Albuquerque,NM
210 Marie Langdon Drive,Manchester ,KY
913 North Dixie Avenue,Elizabethtown,KY
8915 W Connell Ct,Milwaukee,WI
100 North Mario Capecchi Drive,Salt Lake City,UT
835 Southeast Bishop Boulevard,Pullman,WA
2105 Forest Avenue,San Jose,CA
250 Park Street,Bowling Green,KY
3001 Avenue A,Dodge City,KS
555 S Broadway,Tarrytown ,NY
600 East 233rd Street,Bronx,NY
374 Stockholm St,Brooklyn,NY
1324 North Sheridan Road,Waukegan,IL
1460 G Street,Springfield,OR
1454 N County Road 2050 E,Carthage,IL
2150 Hospital Drive,Windom,MN
127 South Broadway,Yonkers,NY
315 North Washington Street,Viborg,SD
20 Davis Ave,White Plains,NY
3950 Austell Road,Austell,GA
1514 Vernon Road,Lagrange,GA
1010 Three Springs Blvd,Durango,CO
16001 W Nine Mile Rd,Southfield,MI
1 Genesys Pkwy,Grand Blanc,MI
2201 Lexington Ave,Ashland,KY
4081 East Olympic Boulevard,Los Angeles,CA
2350 Meadows Blvd,Castle Rock,CO
340 Peak One Dr,Frisco,CO
1026 A Avenue Ne,Cedar Rapids,IA
777 Bannock St,Denver,CO
One Medical Center Boulevard,Upland,PA
1008 Minnequa Ave,Pueblo,CO
401 E Spruce St,Garden City,KS
2201 Chapel Ave West,Cherry Hill,NJ
295 Varnum Ave,Lowell,MA
15107 Vanowen Street,Van Nuys,CA
2525 Kings Hwy,Brooklyn,NY
619 19th S St,Birmingham,AL
2801 Atlantic Avenue,Long Beach,CA
400 West Interstate 635,Irving,TX
19801 Observation Drive,Germantown,MD
6001 E Broad St,Columbus,OH
355 North Main Street,Kanab,UT
301 Saint Paul Place,Baltimore,MD
1230 Baxter St,Athens,GA
401 Matthew Street,Marietta,OH
380 West 100 North,Monticello,UT
410W 10th Ave,Columbus,OH
17100 Euclid Street,Fountain Valley,CA
901 Harry S Truman Drive North,Largo,MD
5130 Mancuso Ln,Baton Rouge,LA
"27700 Medical Center Road, 5th Fl",Mission Viejo,CA
2855 Old Highway 5,Blue Ridge,GA
900 West Ash Street,Deming,NM
1117 East Devonshire,Hemet,CA
100 Avenida Luis Muñoz Marín,Caguas,PR
7955 Harry Hines Blvd,Dallas,TX
6509 W 103rd St,Overland Park,KS
28400 Mccall Boulevard,Menifee,CA
4646 Cowhorn Creek Rd,Texarkana,TX
1701 Santa Anita Avenue,South El Monte,CA
111 S Front St ,Harrisburg,PA
 2701 S Bristol St,Santa Ana,CA
433 E. 6th Street,Mesa,AZ
5501 South Expressway 77,Harlingen,TX
29101 Hospital Road,Lake Arrowhead,CA
241 North Road,Poughkeepsie,NY
11100 Shadow Creek Parkway,Pearland,TX
6801 Emmett F. Lowry Expressway,Texas City,TX
125 Hospital Dr,Spruce Pine,NC
9080 Colima Road,Whittier,CA
1100 Allied Drive,Plano,TX
300 South Byron Boulevard,Chamberlain,SD
2905 Third Ave SE,Aberdeen,SD
1430 North Highway,Jackson,MN
4202 Princeton Street,Lubbock,TX
3221 Commercial Cir,New Braunfels,TX
1675 East Villa Street,Phoenix,AR
229 Bellemeade Blvd. ,Gretna,LA
"4579 South Eason Boulevard, Suite B",Tupelo,MS
9310 Coors Blvd NW,Albuquerque,NM
4701 Phoenix Avenue,Fort Smith,AR
1600 North Kniss Avenue,Luverne,MN
12300 Mccracken Road,Garfield Heights,OH
200 West Church Street,Lexington,TN
5656 South Power Road,Gilbert,AZ
9201 W. Thomas Rd.,Phoenix,AZ
645 South Central Ave,Chicago,IL
42 Sixth Ave. SE.,Mayville,ND
630 East River Street,Elyria,OH
7007 Powers Boulevard,Parma,OH
2621 Grove Ave,Richmond,VA
301 Henry Street,North Vernon,IN
1625 N Campbell Ave,Tucson,AZ
29000 Center Ridge Road,Westlake,OH
47601 Grand River Ave,Novi,MI
101 Harris Rd,Kilmarnock,VA
10401 W. Thunderbird Blvd.,Sun City,AZ
14502 West Meeker Blvd,Sun City West,AZ
1405 S. Alma School Road,Chandler,AZ
600 East Blvd,Elkhart,IN
1018 Sixth Avenue,Worthington,MN
118 N. Seventh Avenue,Sheldon,IA
249 Fifth Street East,Tracy,MN
20 South Plum Street,Vermillion,SD
1401 East State Street,Rockford,IL
275 Sandwich Street,Plymouth,MA
255 North Welch Avenue,Primghar,IA
200 Medical Park Boulevard,Petersburg,VA
121 Dekalb Ave,Brooklyn,NY
1401 West First Street,Webster,SD
3001 Sanford Parkway,Thief River Falls,MN
18901 Lake Shore Boulevard,Euclid,OH
199 Reedsdale Road,Milton,MA
1730 West 25th Street,Cleveland,OH
18101 Lorain Avenue,Cleveland,OH
4300 W. Memorial Road,Oklahoma City,OK
45 W 111th Street,Chicago,IL
3333 North Webb Road,Wichita,KS
509 West 18th Street,Hermann,MO
1201 N 37th Ave,Hollywood,FL
1001 E Johnson Street,Holyoke,CO
2975 Sycamore Dr,Simi Valley,CA
507 S Monroe St,Lancaster,WI
910 Wallace Avenue,Leitchfield,KY
1316 South Main Street,Clarion,IA
1340 Hal Greer Boulevard,Huntington,WV
815 North Virginia Street,Port Lavaca,TX
1600 West 40th Avenue,Pine Bluff,AR
600 North Washington Street,Council Grove,KS
229 South Seventh Street,St. Maries,ID
235 West Vine Street,Dighton,KS
215 E 8th Street,Minneapolis,KS
300 North Columbia Ave,Seward,NE
501 Petaluma Avenue,Sebastopol,CA
520 Medical Dr,Guymon,OK
1300 N Main St,Rushville,IN
551 Highland Drive,Arco,ID
1200 West Maple Avenue,Geneva,AL
701 10TH ST. SE,Cedar Rapids,IA
1097 Northwest Blvd,Franklin,LA
2929 Woodland Park Drive,Houston,TX
911 Sunset Drive,Hollister,CA
6640 Kaniksu Street,Bonners Ferry,ID
1200 Carl Ramert Drive,Yoakum,TX
809 NE HWY 60,Seiling,OK
1000 Coney Street West,Perham,MN
715 N St Joseph Ave,Hastings,NE
710 N Walnut Street,Medicine Lodge,KS
1101 East 15th Street,Pawhuska,OK
650 W. Taylor Street,Vandalia,IL
135 Highway 402,Napoleonville,LA
710 North 12th Street,Guthrie Center,IA
315 Knapp St,Wolf Point,MT
302 North Hospital Drive,Girard,KS
300 Hillmont Ave,Ventura,CA
301 Cedar,Orofino,ID
210 South Vermont Avenue,Ransom,KS
401 W Pennsylvania Ave,Anaconda,MT
300 Pershing Ave,Shenandoah,IA
2000 Mowry Avenue,Fremont,CA
532 1ST ST NW,Britt,IA
619 South Clark Avenue,Lyons,KS
701 Lewiston St,Cottonwood,ID
6412 Laurel Avenue,Mountain Mesa,CA
615 Fulton Street,Port Clinton,OH
804 22nd Avenue,Kearney,NE
211 Skyline Dr,White Salmon,WA
730 17th Street,Modesto,CA
401 Cheyenne Ave,Satanta,KS
408 Wendell Ave,Lewistown,MT
98 Poplar Street,Blackfoot,ID
1001 Holland Avenue,Philadelphia,MS
1150 State Street,Phillipsburg,KS
7571 State Route 54,Bath,NY
2305 South 65 Highway,Marshall,MO
1740 Nicholasville Road,Lexington,KY
1 Trillium Way,Corbin,KY
7031 Sw 62nd Ave,South Miami,FL
237 W Harrison ST,Osborne,KS
1405 Northwest Church Street,Leon,IA
150 W High St,Morris,IL
66 N 6th St,Pomeroy,WA
502 S Buckeye,Stafford,KS
2501 Kentucky Avenue,Paducah,KY
721 West Kansas,Greensburg,KS
1850 State Street,New Albany,IN
1 Wickersham Dr.,Mangum,OK
350 N Meridian St,Blackfoot,ID
301 West 7th Avenue,Big Timber,MT
2900 N Lake Shore Dr,Chicago,IL
1025 New Moody Lane,La Grange,KY
1500 E Medical Center Dr,Ann Arbor,MI
821 Jeffee Drive,Kermit,TX
2142 North Cove Boulevard,Toledo,OH
900 Hospital Drive,Madisonville,KY
212 South Main Street,Minneola,KS
805 Sunset Blvd,Conrad,MT
222 Medical Circle,Morehead,KY
4500 Wichers Dr.,Marrero,LA
203 South Daisy Street,Salmon,ID
403 First Street Se,Belmond,IA
305 North Mckinney ,Sweeny,TX
350 Terracina Boulevard,Redlands,CA
409 Tyler Holmes Drive,Winona,MS
3600 Broadway,Oakland,CA
2317 Alumni Park Plz,Lexington ,KY
325 Maine St,Lawrence,KS
350 South Oak Avenue,Oakdale,CA
1650 Cowles Street,Fairbanks,AK
999 San Bernardino Rd,Upland,CA
1208 Luther Street,Eads,CO
10121 Pine Ave,Truckee,CA
1100 Magellan Dr,Tehachapi,CA
1125 W Jefferson St,Franklin,IN
1200 E Tremont St,Hillsboro,IL
800 School St,Carrollton,IL
300 South Third West,Soda Springs,ID
23625 Holman Highway,Monterey,CA
720 W Central St,El Dorado,KS
2000 S Main Street ,Fairfield,IA
2350 Hospital Drive,Webster City,IA
700 N. Huser St,Syracuse,KS
1110 Columbine Dr,Holton,KS
312 9th St SW,Waverly,IA
1100 Mercer Ave,Decatur,IN
809 W Bramley St,Jetmore,KS
1020 South Fourth Street,Canadian,TX
1011 Old Highway 60,Hardinsburg,KY
407 Cincinnati St,Delhi,LA
700 South J Street,Lakeview,OR
600 Ranch Road,Reedsport,OR
908 Tenth Avenue Southwest,Quincy,WA
711 N Taylor St ,Gunnison,CO
600 Roe Ave,Elmira,NY
800 E 9th Ave,Truth Or Consequences,NM
802 Second Street SE,Cut Bank,MT
310 South Sansome Street,Philipsburg,MT
121 East Baker Street,Indianola,MS
651 West Marion Road,Mount Gilead,OH
10123 Southeast Market Street,Portland,OR
607 Beaman Street,Clinton,NC
6600 Madison St,New Port Richey,FL
2215 Burdett Avenue,Troy,NY
555 North Duke Street,Lancaster,PA
445 Hilltop Ave,Elkhart,KS
1650 Fourth Street Southeast,Rochester,MN
403 E 1st St,Dixon,IL
217 South Third Street,Danville,KY
1000 N Allen St,Robinson,IL
500 W Broadway St.,Missoula,MT
300 W Huntington Dr,Arcadia,CA
 3131 S Main St,Moultrie,GA
2700 SE Stratus Ave,McMinnville,OR
9200 W Wisconsin Ave,Milwaukee,WI
7575 E. Earll Dr.,Scottsdale,AZ
1100 East Poplar Street,Clarksville,AR
8565 S Poplar Way,Littleton,CO
2634 Capital Circle NE,Tallahassee,FL
555 Linn Street,Allegan,MI
10666 N Torrey Pines Rd,La Jolla,CA
170 William Street,New York,NY
915 Michigan St,Sidney,OH
100 W. U.S. Highway 60,Mountain View,MO
525 Branson Landing Blvd.,Branson,MO
800 Kirnwood Drive,DeSoto,TX
214 N Prairie St,Flandreau,SD
430 North Monte Vista Street,Ada,OK
730 W Market St,Lima,OH
407 S White St,Mount Pleasant,IA
235 Eighth Avenue West,Cresco,IA
600 9th N Ave,Sibley,IA
7435 West Talcott Avenue,Chicago,IL
1100 Hollenback Lane,Deer Lodge,MT
1001 Potrero Ave,San Francisco,CA
2900 South Loop 256,Palestine,TX
207 Old Lexington Rd,Thomasville,NC
1901 1st Ave,New York,NY
701 Park Ave,Minneapolis,MN
10 E Hospital St,Manning,SC
1500 S Main Street,Eaton Rapids,MI
1815 Wisconsin Ave,Benson,MN
355 Bard Ave,Staten Island,NY
510 Roosevelt Street,American Falls,ID
333 North Smith Avenue,St Paul,MN
1200 North 7th Street,Chariton,IA
459 Highway 119 South,Springfield,GA
2315 E Main St,New Iberia,LA
611 S Marshall Avenue,Mcleansboro,IL
1015 Medical Center Pkwy,Selma,AL
417 West Third Avenue,Albany,GA
2520 E Dupont Rd,Fort Wayne,IN
4100 Mapleshade Ln,Plano,TX
1801 Hickman Road,Des Moines,IA
608 Avenue B,Ballinger,TX
100 South Ellis Street,Boise City,OK
230 Hospital Plaza,Weston,WV
7531 S Stony Island Ave,Chicago,IL
1307 Cleveland Ave,Friona,TX
6198 Cypress St,West Monroe,LA
900 Lincoln Ave,Grant,NE
2500 Discovery Dr,Orlando,FL
300 Sioux Valley Drive,Cherokee,IA
401 9th Avenue Northwest,Watertown,SD
12500 Willowbrook Road,Cumberland,MD
807 S Ponderosa St,Payson,AZ
3637 Old Vineyard Road,Winston-Salem,NC
2211 North Oak Park Avenue,Chicago,IL
900 2nd Avenue,Madison,MN
4207 Burnet Road,Austin,TX
101 Lake Oconee Pkwy,Eatonton,GA
301 E Jackson St,Dillon,SC
800 Oak Street,Farmville,VA
2329 Parker Rd,Carrollton,TX
820 West Washington Street,Eufaula,AL
900 W Kingshighway,Paragould,AR
11929 West Airport Boulevard,Stafford,TX
9407 Cumberland Road,New Kent,VA
14433 Emelita Street,Van Nuys,CA
200 Allen Memorial Drive,Bremen,GA
1901 Randolph Rd,Charlotte,NC
323 South Minnesota Street,Crookston,MN
417 S East St,Corydon,IA
409 First Street,Bernice,LA
20201 S Crawford Ave,Olympia Fields,IL
1700 Lindberg Dr,Slidell,LA
126 Hospital Avenue,Ozark,AL
160 E Erie Ave,Philadelphia,PA
28 Chick Street,Metropolis,IL
4701 W Park Ave,Houma,LA
1101 9th St SE,Sioux Center,IA
40 Hospital Road,Fairfax,OK
1008 North Main Street,Sikeston,MO
746 Jefferson Avenue,Scranton,PA
178 Grandview Dr,Cobleskill,NY
106 Medical Center Blvd,Fayetteville,TN
1 Healthy Way,Oceanside,NY
301 Memorial Dr,Donaldsonville,LA
800 Ste. Genevieve Drive,Sainte Genevieve,MO
3651 College Blvd,Leawood,KS
400 South Chestnut Street,Aberdeen,MS
503 E Lincoln St,Hendricks,MN
5602 SW Lee Blvd ,Lawton,OK
214 Peach Orchard Rd,Mc Connellsburg,PA
2600 Greenwood Rd,Shreveport,LA
3300 Healthplex Pkwy,Norman,OK
1067 Peachtree Street,Louisville,GA
923 E Central Ave,Lafollette,TN
27200 Calaroga Avenue,Hayward,CA
2008 Nine Rd,Brady,TX
6245 De Longpre Avenue,Hollywood,CA
4619 Rosemead Blvd,Rosemead,CA
832 South Main Street,Orrville,OH
250 Pond St,Braintree,MA
909 2nd St,Langdon,ND
723 W Fairview St,Albion,NE
102 Hospital Circle,Donalsonville,GA
4815 Alameda Avenue,El Paso,TX
404 S Bradley St,Warren,AR
6 N Covington St,Coalgate,OK
85 E US Higway 6,Valparaiso,IN
199 Oak St,Pembroke,MA
26136 Us Highway 59,Fairfax,MO
2950 Elmwood Ave,Kenmore,NY
575 North River St,Wilkes-barre,PA
3101 S Austin Ave,Georgetown,TX
612 Mocksville Ave,Salisbury,NC
350 N Wall St,Kankakee,IL
211 Highland Avenue,Sac City,IA
209 Health Park Dr,Libby,MT
1 Norton Ave,Oneonta,NY
200 Medical Center Dr SW,Fort Payne,AL
5300 Military Rd,Lewiston,NY
